show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,genre1,genre2,genre3
21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,22/09/2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",2021,Crime TV Shows,Docuseries,International TV Shows
22,TV Show,Resurrection: Ertugrul,,Turkey,22/09/2021,2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",2021,International TV Shows,TV Action & Adventure,TV Dramas
26,TV Show,Love on the Spectrum,,Australia,21/09/2021,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",2021,Docuseries,International TV Shows,Reality TV
32,TV Show,Chicago Party Aunt,,Pakistan,17/09/2021,2021,TV-MA,1 Season,TV Comedies,2021,TV Comedies,,
33,TV Show,Sex Education,,United Kingdom,17/09/2021,2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",2021,British TV Shows,International TV Shows,TV Comedies
34,TV Show,Squid Game,,Pakistan,17/09/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",2021,International TV Shows,TV Dramas,TV Thrillers
35,TV Show,Tayo and Little Wizards,,Pakistan,17/09/2021,2020,TV-Y7,1 Season,Kids' TV,2021,Kids' TV,,
38,TV Show,Angry Birds,,Finland,16/09/2021,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
40,TV Show,Chhota Bheem,Rajiv Chilaka,India,16/09/2021,2021,TV-Y7,3 Seasons,Kids' TV,2021,Kids' TV,,
41,TV Show,He-Man and the Masters of the Universe,,United States,16/09/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",2021,Kids' TV,TV Sci-Fi & Fantasy,
48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,16/09/2021,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
50,TV Show,Castle and Castle,,Nigeria,15/09/2021,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",2021,International TV Shows,TV Dramas,
51,TV Show,Dharmakshetra,,India,15/09/2021,2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2021,International TV Shows,TV Dramas,TV Sci-Fi & Fantasy
56,TV Show,Nailed It,,United States,15/09/2021,2021,TV-PG,6 Seasons,Reality TV,2021,Reality TV,,
66,TV Show,Numberblocks,,United Kingdom,15/09/2021,2021,TV-Y,6 Seasons,Kids' TV,2021,Kids' TV,,
67,TV Show,Raja Rasoi Aur Anya Kahaniyan,,India,15/09/2021,2014,TV-G,1 Season,"Docuseries, International TV Shows",2021,Docuseries,International TV Shows,
68,TV Show,Saved by the Bell,,United States,15/09/2021,1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
70,TV Show,Stories by Rabindranath Tagore,,India,15/09/2021,2015,TV-PG,1 Season,"International TV Shows, TV Dramas",2021,International TV Shows,TV Dramas,
71,TV Show,Too Hot To Handle: Latino,,Pakistan,15/09/2021,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",2021,International TV Shows,Reality TV,Romantic TV Shows
73,TV Show,Jack Whitehall: Travels with My Father,,United Kingdom,14/09/2021,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",2021,British TV Shows,Docuseries,International TV Shows
75,TV Show,The World's Most Amazing Vacation Rentals,,Pakistan,14/09/2021,2021,TV-PG,2 Seasons,Reality TV,2021,Reality TV,,
77,TV Show,Yowamushi Pedal,,Japan,14/09/2021,2013,TV-14,1 Season,"Anime Series, International TV Shows",2021,Anime Series,International TV Shows,
83,TV Show,Lucifer,,United States,10/09/2021,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",2021,Crime TV Shows,TV Comedies,TV Dramas
84,TV Show,Metal Shop Masters,,Pakistan,10/09/2021,2021,TV-MA,1 Season,Reality TV,2021,Reality TV,,
86,TV Show,Pokémon Master Journeys: The Series,,Pakistan,10/09/2021,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",2021,Anime Series,Kids' TV,
88,TV Show,Titipo Titipo,,Pakistan,10/09/2021,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",2021,Kids' TV,Korean TV Shows,
90,TV Show,Mighty Raju,,Pakistan,09/09/2021,2017,TV-Y7,4 Seasons,Kids' TV,2021,Kids' TV,,
93,TV Show,Into the Night,,Belgium,08/09/2021,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",2021,International TV Shows,TV Dramas,TV Mysteries
96,TV Show,The Circle,,United States,08/09/2021,2021,TV-MA,3 Seasons,Reality TV,2021,Reality TV,,
98,TV Show,Kid Cosmic,,United States,07/09/2021,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",2021,Kids' TV,TV Comedies,TV Sci-Fi & Fantasy
99,TV Show,Octonauts: Above & Beyond,,United Kingdom,07/09/2021,2021,TV-Y,1 Season,"British TV Shows, Kids' TV",2021,British TV Shows,Kids' TV,
100,TV Show,On the Verge,,France,07/09/2021,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",2021,TV Comedies,TV Dramas,
101,TV Show,Tobot Galaxy Detectives,,Pakistan,07/09/2021,2019,TV-Y7,2 Seasons,Kids' TV,2021,Kids' TV,,
103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,06/09/2021,2021,TV-14,1 Season,"Docuseries, Science & Nature TV",2021,Docuseries,Science & Nature TV,
105,TV Show,Tayo the Little Bus,,South Korea,06/09/2021,2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",2021,Kids' TV,Korean TV Shows,
107,TV Show,Bunk'd,,United States,05/09/2021,2021,TV-G,5 Seasons,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
109,TV Show,Dive Club,,Australia,03/09/2021,2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",2021,Kids' TV,TV Dramas,Teen TV Shows
110,TV Show,La casa de papel,,Spain,03/09/2021,2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",,03/09/2021,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",2021,Docuseries,International TV Shows,Spanish-Language TV Shows
112,TV Show,Sharkdog,,United States,03/09/2021,2021,TV-Y,1 Season,Kids' TV,2021,Kids' TV,,
121,TV Show,Heroes of Goo Jit Zu,,Australia,02/09/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
122,TV Show,Hotel Del Luna,,Pakistan,02/09/2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
124,TV Show,Luv Kushh,,Pakistan,02/09/2021,2012,TV-Y7,1 Season,Kids' TV,2021,Kids' TV,,
125,TV Show,Pororo - The Little Penguin,,South Korea,02/09/2021,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",2021,Kids' TV,Korean TV Shows,
126,TV Show,Q-Force,,United States,02/09/2021,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",2021,Crime TV Shows,TV Action & Adventure,TV Comedies
133,TV Show,Brave Animated Series,,Pakistan,01/09/2021,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",2021,International TV Shows,TV Action & Adventure,TV Comedies
148,TV Show,How to Be a Cowboy,,Pakistan,01/09/2021,2021,TV-PG,1 Season,Reality TV,2021,Reality TV,,
149,TV Show,HQ Barbers,Gerhard Mostert,,01/09/2021,2020,TV-14,1 Season,TV Shows,2021,TV Shows,,
154,TV Show,Kid-E-Cats,,Russia,01/09/2021,2016,TV-Y,2 Seasons,Kids' TV,2021,Kids' TV,,
155,TV Show,Kuroko's Basketball,,Japan,01/09/2021,2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",2021,Anime Series,International TV Shows,Teen TV Shows
161,TV Show,Major Dad,,United States,01/09/2021,1992,TV-PG,4 Seasons,TV Comedies,2021,TV Comedies,,
166,TV Show,Oldsters,,Pakistan,01/09/2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
182,TV Show,Turning Point: 9/11 and the War on Terror,,Pakistan,01/09/2021,2021,TV-14,1 Season,Docuseries,2021,Docuseries,,
185,TV Show,Sparking Joy,,United States,31/08/2021,2021,TV-PG,1 Season,Reality TV,2021,Reality TV,,
187,TV Show,Hometown Cha-Cha-Cha,,Pakistan,29/08/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
188,TV Show,The Ingenuity of the Househusband,,Pakistan,29/08/2021,2021,TV-G,1 Season,"International TV Shows, TV Comedies",2021,International TV Shows,TV Comedies,
190,TV Show,Bread Barbershop,,Pakistan,28/08/2021,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
194,TV Show,D.P.,,South Korea,27/08/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas",2021,International TV Shows,TV Dramas,
195,TV Show,Deadly Sins,,Pakistan,27/08/2021,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2021,International TV Shows,Spanish-Language TV Shows,TV Dramas
198,TV Show,I Heart Arlo,,Pakistan,27/08/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,27/08/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2021,Crime TV Shows,International TV Shows,TV Dramas
213,TV Show,Rebellion,,Ireland,27/08/2021,2016,TV-MA,2 Seasons,"International TV Shows, TV Dramas",2021,International TV Shows,TV Dramas,
214,TV Show,RIDE ON TIME,,Pakistan,27/08/2021,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",2021,Docuseries,International TV Shows,
219,TV Show,Titletown High,,Pakistan,27/08/2021,2021,TV-14,1 Season,"Reality TV, Teen TV Shows",2021,Reality TV,Teen TV Shows,
220,TV Show,EDENS ZERO,,Japan,26/08/2021,2021,TV-14,1 Season,"Anime Series, International TV Shows",2021,Anime Series,International TV Shows,
221,TV Show,Family Reunion,,United States,26/08/2021,2021,TV-PG,4 Seasons,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
223,TV Show,Clickbait,Brad Anderson,United States,25/08/2021,2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",2021,Crime TV Shows,TV Dramas,TV Mysteries
224,TV Show,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",,25/08/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",2021,Crime TV Shows,Docuseries,International TV Shows
225,TV Show,Motel Makeover,,Pakistan,25/08/2021,2021,TV-14,1 Season,"International TV Shows, Reality TV",2021,International TV Shows,Reality TV,
226,TV Show,Open Your Eyes,,Pakistan,25/08/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",2021,International TV Shows,TV Dramas,TV Mysteries
227,TV Show,Post Mortem: No One Dies in Skarnes,,Pakistan,25/08/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",2021,International TV Shows,TV Comedies,TV Dramas
233,TV Show,Wheel of Fortune,,United States,25/08/2021,2019,TV-G,3 Seasons,Reality TV,2021,Reality TV,,
235,TV Show,Oggy Oggy,,Pakistan,24/08/2021,2021,TV-Y,1 Season,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
242,TV Show,Manifest,,United States,21/08/2021,2021,TV-14,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2021,TV Dramas,TV Mysteries,TV Sci-Fi & Fantasy
243,TV Show,Comedy Premium League,,Pakistan,20/08/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies",2021,International TV Shows,TV Comedies,
244,TV Show,Everything Will Be Fine,,Pakistan,20/08/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2021,International TV Shows,Spanish-Language TV Shows,TV Comedies
246,TV Show,Korean Cold Noodle Rhapsody,,Pakistan,20/08/2021,2021,TV-PG,1 Season,"Docuseries, International TV Shows",2021,Docuseries,International TV Shows,
249,TV Show,The Chair,,Pakistan,20/08/2021,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",2021,TV Comedies,TV Dramas,
255,TV Show,Go! Go! Cory Carson,,United States,18/08/2021,2021,TV-Y,5 Seasons,Kids' TV,2021,Kids' TV,,
261,TV Show,The Defeated,,Pakistan,18/08/2021,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2021,Crime TV Shows,International TV Shows,TV Dramas
264,TV Show,Mother Goose Club,,United States,16/08/2021,2016,TV-Y,2 Seasons,Kids' TV,2021,Kids' TV,,
266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,,Japan,15/08/2021,2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",2021,Anime Series,International TV Shows,Romantic TV Shows
267,TV Show,The Creative Indians,,India,15/08/2021,2020,TV-MA,1 Season,"Docuseries, International TV Shows",2021,Docuseries,International TV Shows,
270,TV Show,Winx Club,,Italy,15/08/2021,2015,TV-Y7,2 Seasons,Kids' TV,2021,Kids' TV,,
272,TV Show,Brand New Cherry Flavor,,United States,13/08/2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",2021,TV Dramas,TV Horror,TV Mysteries
273,TV Show,Fast & Furious Spy Racers,,United States,13/08/2021,2021,TV-Y7,5 Seasons,Kids' TV,2021,Kids' TV,,
274,TV Show,Gone for Good,Juan Carlos Medina,France,13/08/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2021,Crime TV Shows,International TV Shows,TV Dramas
275,TV Show,Grace and Frankie,,United States,13/08/2021,2021,TV-MA,7 Seasons,"TV Comedies, TV Dramas",2021,TV Comedies,TV Dramas,
276,TV Show,The Kingdom,,Argentina,13/08/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
277,TV Show,Valeria,Inma Torrente,Spain,13/08/2021,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,International TV Shows,Romantic TV Shows,Spanish-Language TV Shows
278,TV Show,AlRawabi School for Girls,,Jordan,12/08/2021,2021,TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",2021,International TV Shows,TV Dramas,Teen TV Shows
281,TV Show,Bake Squad,,United States,11/08/2021,2021,TV-PG,1 Season,Reality TV,2021,Reality TV,,
287,TV Show,Gabby's Dollhouse,,United States,10/08/2021,2021,TV-Y,2 Seasons,Kids' TV,2021,Kids' TV,,
288,TV Show,I Need Romance,Sakon Tiacharoen,,10/08/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
289,TV Show,Las muñecas de la mafia,,Colombia,10/08/2021,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
290,TV Show,The Crowned Clown,,South Korea,10/08/2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",2021,International TV Shows,Romantic TV Shows,TV Dramas
292,TV Show,SHAMAN KING,,Japan,09/08/2021,2021,TV-14,1 Season,"Anime Series, International TV Shows",2021,Anime Series,International TV Shows,
297,TV Show,Hit & Run,,Israel,06/08/2021,2021,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries",2021,TV Action & Adventure,TV Dramas,TV Mysteries
298,TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",India,06/08/2021,2021,TV-MA,1 Season,TV Shows,2021,TV Shows,,
310,TV Show,Car Masters: Rust to Riches,,Pakistan,04/08/2021,2021,TV-PG,3 Seasons,Reality TV,2021,Reality TV,,
311,TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,United States,04/08/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",2021,Crime TV Shows,Docuseries,
312,TV Show,Control Z,,Mexico,04/08/2021,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2021,International TV Shows,Spanish-Language TV Shows,TV Dramas
313,TV Show,Cooking With Paris,,United States,04/08/2021,2021,TV-MA,1 Season,Reality TV,2021,Reality TV,,
314,TV Show,Autumn's Concerto,,Taiwan,03/08/2021,2009,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",2021,International TV Shows,Romantic TV Shows,TV Dramas
317,TV Show,Office Girls,Hsu Fu-chun,Taiwan,03/08/2021,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
320,TV Show,The Prince Who Turns into a Frog,,Taiwan,03/08/2021,2005,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
321,TV Show,Top Secret UFO Projects: Declassified,,Pakistan,03/08/2021,2021,TV-PG,1 Season,Docuseries,2021,Docuseries,,
322,TV Show,Two Fathers,,Taiwan,03/08/2021,2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
323,TV Show,You're My Destiny,,Taiwan,03/08/2021,2008,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
324,TV Show,30 Rock,,United States,01/08/2021,2012,TV-14,7 Seasons,TV Comedies,2021,TV Comedies,,
325,TV Show,44 Cats,,Italy,01/08/2021,2020,TV-Y7,3 Seasons,Kids' TV,2021,Kids' TV,,
332,TV Show,Darwin’s Game,,Pakistan,01/08/2021,2020,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers",2021,Anime Series,International TV Shows,TV Thrillers
337,TV Show,Friday Night Lights,,Pakistan,01/08/2021,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",2021,TV Dramas,Teen TV Shows,
339,TV Show,Hunter X Hunter (2011),,Japan,01/08/2021,2014,TV-14,6 Seasons,"Anime Series, International TV Shows",2021,Anime Series,International TV Shows,
362,TV Show,Charmed,,United States,31/07/2021,2021,TV-14,3 Seasons,"TV Dramas, TV Sci-Fi & Fantasy",2021,TV Dramas,TV Sci-Fi & Fantasy,
365,TV Show,Centaurworld,,Pakistan,30/07/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
367,TV Show,Glow Up,,United Kingdom,30/07/2021,2021,TV-14,3 Seasons,"British TV Shows, International TV Shows, Reality TV",2021,British TV Shows,International TV Shows,Reality TV
369,TV Show,Khawatir,,Pakistan,30/07/2021,2009,TV-14,1 Season,"International TV Shows, Reality TV",2021,International TV Shows,Reality TV,
370,TV Show,Myth & Mogul: John DeLorean,,Pakistan,30/07/2021,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",2021,British TV Shows,Crime TV Shows,Docuseries
371,TV Show,Outer Banks,,United States,30/07/2021,2021,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, Teen TV Shows",2021,TV Action & Adventure,TV Dramas,Teen TV Shows
377,TV Show,Transformers: War for Cybertron: Kingdom,,Pakistan,29/07/2021,2021,TV-Y7,1 Season,Anime Series,2021,Anime Series,,
380,TV Show,Tattoo Redo,,Pakistan,28/07/2021,2021,TV-MA,1 Season,Reality TV,2021,Reality TV,,
381,TV Show,The Flash,Glen Winter,United States,28/07/2021,2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",2021,Crime TV Shows,TV Action & Adventure,TV Sci-Fi & Fantasy
382,TV Show,The Snitch Cartel: Origins,,Pakistan,28/07/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
383,TV Show,All American,,United States,27/07/2021,2021,TV-14,3 Seasons,"TV Dramas, Teen TV Shows",2021,TV Dramas,Teen TV Shows,
386,TV Show,How to Sell Drugs Online (Fast),,Germany,27/07/2021,2021,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Comedies",2021,Crime TV Shows,International TV Shows,TV Comedies
387,TV Show,Mighty Express,,United States,27/07/2021,2021,TV-Y,4 Seasons,Kids' TV,2021,Kids' TV,,
389,TV Show,Plastic Cup Boyz: Laughing My Mask Off!,"Royale Watkins, Rich Schlansker",,27/07/2021,2021,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",2021,Stand-Up Comedy & Talk Shows,TV Comedies,
391,TV Show,The Walking Dead,,United States,26/07/2021,2019,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas",2021,Classic & Cult TV,TV Action & Adventure,TV Dramas
392,TV Show,Wynonna Earp,,Canada,26/07/2021,2020,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",2021,International TV Shows,TV Action & Adventure,TV Dramas
398,TV Show,Feels Like Ishq,,Pakistan,23/07/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
400,TV Show,Masters of the Universe: Revelation,,Pakistan,23/07/2021,2021,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy",2021,TV Action & Adventure,TV Sci-Fi & Fantasy,
401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,,Pakistan,23/07/2021,2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",2021,Anime Series,Stand-Up Comedy & Talk Shows,
402,TV Show,Sky Rojo,,Spain,23/07/2021,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2021,International TV Shows,Spanish-Language TV Shows,TV Action & Adventure
404,TV Show,The Movies That Made Us,,United States,23/07/2021,2021,TV-MA,2 Seasons,Docuseries,2021,Docuseries,,
426,TV Show,Chicago Med,,United States,22/07/2021,2019,TV-14,5 Seasons,TV Dramas,2021,TV Dramas,,
431,TV Show,Sexy Beasts,,Pakistan,21/07/2021,2021,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",2021,British TV Shows,International TV Shows,Reality TV
432,TV Show,Too Hot to Handle: Brazil,,Pakistan,21/07/2021,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",2021,International TV Shows,Reality TV,Romantic TV Shows
435,TV Show,Okupas,,Argentina,20/07/2021,2020,TV-MA,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows",2021,Classic & Cult TV,Crime TV Shows,International TV Shows
436,TV Show,Touch Your Heart,,Pakistan,20/07/2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows",2021,Crime TV Shows,International TV Shows,Romantic TV Shows
441,TV Show,Explained,,United States,16/07/2021,2021,TV-MA,3 Seasons,"Docuseries, Science & Nature TV",2021,Docuseries,Science & Nature TV,
443,TV Show,Johnny Test,,United States,16/07/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",2021,Kids' TV,TV Comedies,
445,TV Show,Naomi Osaka,Garrett Bradley,,16/07/2021,2021,TV-14,1 Season,Docuseries,2021,Docuseries,,
454,TV Show,BEASTARS,,Japan,15/07/2021,2021,TV-MA,2 Seasons,"Anime Series, International TV Shows",2021,Anime Series,International TV Shows,
457,TV Show,Her Private Life,,South Korea,15/07/2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
460,TV Show,Never Have I Ever,,United States,15/07/2021,2021,TV-14,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",2021,TV Comedies,TV Dramas,Teen TV Shows
466,TV Show,Heist,,Pakistan,14/07/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",2021,Crime TV Shows,Docuseries,
467,TV Show,My Unorthodox Life,,Pakistan,14/07/2021,2021,TV-MA,1 Season,Reality TV,2021,Reality TV,,
473,TV Show,Ridley Jones,,United States,13/07/2021,2021,TV-Y,1 Season,Kids' TV,2021,Kids' TV,,
478,TV Show,Atypical,,United States,09/07/2021,2021,TV-14,4 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",2021,TV Comedies,TV Dramas,Teen TV Shows
479,TV Show,Biohackers,,Germany,09/07/2021,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2021,International TV Shows,TV Dramas,TV Sci-Fi & Fantasy
