show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,genre1,genre2,genre3
43,Movie,Jaws 2,Jeannot Szwarc,United States,16/09/2021,1978,PG,116,"Dramas, Horror Movies, Thrillers",2021,Dramas,Horror Movies,Thrillers
44,Movie,Jaws 3,Joe Alves,United States,16/09/2021,1983,PG,98,"Action & Adventure, Horror Movies, Thrillers",2021,Action & Adventure,Horror Movies,Thrillers
45,Movie,Jaws: The Revenge,Joseph Sargent,United States,16/09/2021,1987,PG-13,91,"Action & Adventure, Horror Movies, Thrillers",2021,Action & Adventure,Horror Movies,Thrillers
46,Movie,My Heroes Were Cowboys,Tyler Greco,,16/09/2021,2021,PG,23,Documentaries,2021,Documentaries,,
47,Movie,Safe House,Daniel Espinosa,South Africa,16/09/2021,2012,R,115,Action & Adventure,2021,Action & Adventure,,
49,Movie,Training Day,Antoine Fuqua,United States,16/09/2021,2001,R,122,"Dramas, Thrillers",2021,Dramas,Thrillers,
52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,15/09/2021,2002,TV-14,99,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,15/09/2021,2003,TV-14,99,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,15/09/2021,2004,TV-PG,88,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,15/09/2021,2001,TV-PG,100,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,15/09/2021,2011,TV-14,102,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,15/09/2021,2008,TV-PG,93,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,15/09/2021,2009,TV-PG,96,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,15/09/2021,2007,TV-PG,95,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,15/09/2021,2010,TV-14,85,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,15/09/2021,2005,TV-PG,97,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,15/09/2021,2006,TV-PG,95,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,15/09/2021,2004,TV-PG,83,"Action & Adventure, Anime Features, International Movies",2021,Action & Adventure,Anime Features,International Movies
65,Movie,Nightbooks,David Yarovesky,,15/09/2021,2021,TV-PG,103,Children & Family Movies,2021,Children & Family Movies,,
69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",,15/09/2021,2021,TV-14,113,"Documentaries, International Movies, Sports Movies",2021,Documentaries,International Movies,Sports Movies
72,Movie,A StoryBots Space Adventure,David A. Vargas,,14/09/2021,2021,TV-Y,13,Children & Family Movies,2021,Children & Family Movies,,
74,Movie,King of Boys,Kemi Adetiba,Nigeria,14/09/2021,2018,TV-MA,182,"Dramas, International Movies",2021,Dramas,International Movies,
76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,14/09/2021,2021,TV-G,106,Children & Family Movies,2021,Children & Family Movies,,
78,Movie,Little Singham - Black Shadow,Prakash Satam,,11/09/2021,2021,TV-Y7,48,"Children & Family Movies, Comedies",2021,Children & Family Movies,Comedies,
79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,,11/09/2021,2020,TV-14,145,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,,11/09/2021,2021,TV-14,145,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
81,Movie,Firedrake the Silver Dragon,Tomer Eshed,,10/09/2021,2021,TV-Y7,93,Children & Family Movies,2021,Children & Family Movies,,
82,Movie,Kate,Cedric Nicolas-Troyan,United States,10/09/2021,2021,R,106,Action & Adventure,2021,Action & Adventure,,
85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,10/09/2021,2020,TV-MA,147,"Action & Adventure, Comedies, Dramas",2021,Action & Adventure,Comedies,Dramas
87,Movie,Prey,Thomas Sieben,Germany,10/09/2021,2021,TV-MA,87,"International Movies, Thrillers",2021,International Movies,Thrillers,
89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,,09/09/2021,2021,PG-13,96,"Documentaries, Sports Movies",2021,Documentaries,Sports Movies,
91,Movie,Paradise Hills,Alice Waddington,Spain,09/09/2021,2019,TV-MA,95,"Sci-Fi & Fantasy, Thrillers",2021,Sci-Fi & Fantasy,Thrillers,
92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,09/09/2021,2021,TV-14,92,"Documentaries, International Movies",2021,Documentaries,International Movies,
94,Movie,JJ+E,Alexis Almström,,08/09/2021,2021,TV-MA,91,"Dramas, International Movies, Romantic Movies",2021,Dramas,International Movies,Romantic Movies
95,Movie,Show Dogs,Raja Gosnell,United Kingdom,08/09/2021,2018,PG,90,"Children & Family Movies, Comedies",2021,Children & Family Movies,Comedies,
97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,07/09/2021,2018,TV-MA,97,"Documentaries, Music & Musicals",2021,Documentaries,Music & Musicals,
102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,07/09/2021,2021,TV-MA,80,"Documentaries, Sports Movies",2021,Documentaries,Sports Movies,
104,Movie,Shadow Parties,Yemi Amodu,,06/09/2021,2020,TV-MA,117,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,05/09/2021,2017,TV-14,128,"Action & Adventure, Comedies, Dramas",2021,Action & Adventure,Comedies,Dramas
108,Movie,A Champion Heart,David de Vos,United States,04/09/2021,2018,G,90,"Children & Family Movies, Dramas",2021,Children & Family Movies,Dramas,
113,Movie,Worth,Sara Colangelo,United States,03/09/2021,2021,PG-13,119,Dramas,2021,Dramas,,
114,Movie,Afterlife of the Party,Stephen Herek,United States,02/09/2021,2021,TV-PG,110,"Comedies, Romantic Movies",2021,Comedies,Romantic Movies,
115,Movie,Anjaam,Rahul Rawail,India,02/09/2021,1994,TV-14,143,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
116,Movie,Bright Star,Jane Campion,United Kingdom,02/09/2021,2009,PG,119,"Dramas, Romantic Movies",2021,Dramas,Romantic Movies,
117,Movie,Dhanak,Nagesh Kukunoor,India,02/09/2021,2015,TV-PG,114,"Comedies, Dramas, Independent Movies",2021,Comedies,Dramas,Independent Movies
118,Movie,Final Account,Luke Holland,United Kingdom,02/09/2021,2021,PG-13,94,Documentaries,2021,Documentaries,,
119,Movie,Gurgaon,Shanker Raman,India,02/09/2021,2017,TV-14,106,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
120,Movie,Here and There,JP Habac,Philippines,02/09/2021,2020,TV-MA,99,"Dramas, International Movies, Romantic Movies",2021,Dramas,International Movies,Romantic Movies
123,Movie,In the Cut,Jane Campion,United Kingdom,02/09/2021,2003,R,118,Thrillers,2021,Thrillers,,
127,Movie,Shikara,Vidhu Vinod Chopra,India,02/09/2021,2020,TV-14,115,"Dramas, International Movies, Romantic Movies",2021,Dramas,International Movies,Romantic Movies
128,Movie,A Cinderella Story,Mark Rosman,United States,01/09/2021,2004,PG,95,"Children & Family Movies, Comedies",2021,Children & Family Movies,Comedies,
129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,France,01/09/2021,2017,PG-13,115,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
130,Movie,An Unfinished Life,Lasse Hallström,Germany,01/09/2021,2005,PG-13,108,Dramas,2021,Dramas,,
131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,,01/09/2021,2021,TV-Y,63,"Children & Family Movies, Music & Musicals",2021,Children & Family Movies,Music & Musicals,
132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,01/09/2021,1982,R,117,"Action & Adventure, Classic Movies, Cult Movies",2021,Action & Adventure,Classic Movies,Cult Movies
134,Movie,Chappie,Neill Blomkamp,South Africa,01/09/2021,2015,R,121,"Action & Adventure, Sci-Fi & Fantasy",2021,Action & Adventure,Sci-Fi & Fantasy,
135,Movie,Clear and Present Danger,Phillip Noyce,United States,01/09/2021,1994,PG-13,142,"Action & Adventure, Dramas",2021,Action & Adventure,Dramas,
136,Movie,Cliffhanger,Renny Harlin,United States,01/09/2021,1993,R,113,Action & Adventure,2021,Action & Adventure,,
137,Movie,Cold Mountain,Anthony Minghella,United States,01/09/2021,2003,R,154,"Dramas, Romantic Movies",2021,Dramas,Romantic Movies,
138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Australia,01/09/2021,2001,PG,95,"Action & Adventure, Comedies",2021,Action & Adventure,Comedies,
139,Movie,Dear John,Lasse Hallström,United States,01/09/2021,2010,PG-13,108,"Dramas, Romantic Movies",2021,Dramas,Romantic Movies,
140,Movie,Do the Right Thing,Spike Lee,United States,01/09/2021,1989,R,120,"Classic Movies, Comedies, Dramas",2021,Classic Movies,Comedies,Dramas
141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,01/09/2021,2014,TV-MA,100,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
142,Movie,Extraction,Steven C. Miller,United States,01/09/2021,2015,R,82,Action & Adventure,2021,Action & Adventure,,
143,Movie,Freedom Writers,Richard LaGravenese,Germany,01/09/2021,2007,PG-13,124,Dramas,2021,Dramas,,
144,Movie,Green Lantern,Martin Campbell,United States,01/09/2021,2011,PG-13,114,"Action & Adventure, Sci-Fi & Fantasy",2021,Action & Adventure,Sci-Fi & Fantasy,
145,Movie,House Party,Reginald Hudlin,United States,01/09/2021,1990,R,104,"Comedies, Cult Movies",2021,Comedies,Cult Movies,
146,Movie,House Party 2,"George Jackson, Doug McHenry",United States,01/09/2021,1991,R,94,"Comedies, Cult Movies, Music & Musicals",2021,Comedies,Cult Movies,Music & Musicals
147,Movie,House Party 3,Eric Meza,United States,01/09/2021,1994,R,94,"Comedies, Music & Musicals",2021,Comedies,Music & Musicals,
150,Movie,I Got the Hook Up,Michael Martin,United States,01/09/2021,1998,R,93,"Action & Adventure, Comedies",2021,Action & Adventure,Comedies,
151,Movie,In Too Deep,Michael Rymer,United States,01/09/2021,1999,R,97,Thrillers,2021,Thrillers,,
152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",China,01/09/2021,2005,TV-14,109,"Action & Adventure, International Movies",2021,Action & Adventure,International Movies,
153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,01/09/2021,2016,TV-MA,88,Comedies,2021,Comedies,,
156,Movie,Labyrinth,Jim Henson,United Kingdom,01/09/2021,1986,PG,101,"Action & Adventure, Children & Family Movies, Cult Movies",2021,Action & Adventure,Children & Family Movies,Cult Movies
157,Movie,Letters to Juliet,Gary Winick,United States,01/09/2021,2010,PG,105,"Comedies, Dramas, Romantic Movies",2021,Comedies,Dramas,Romantic Movies
158,Movie,Level 16,Danishka Esterhazy,Canada,01/09/2021,2018,TV-14,102,"Sci-Fi & Fantasy, Thrillers",2021,Sci-Fi & Fantasy,Thrillers,
159,Movie,Love Don't Cost a Thing,Troy Byer,United States,01/09/2021,2003,PG-13,101,"Comedies, Romantic Movies",2021,Comedies,Romantic Movies,
160,Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,01/09/2021,2010,TV-MA,103,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
162,Movie,Mars Attacks!,Tim Burton,United States,01/09/2021,1996,PG-13,106,"Comedies, Cult Movies, Sci-Fi & Fantasy",2021,Comedies,Cult Movies,Sci-Fi & Fantasy
163,Movie,Marshall,Reginald Hudlin,United States,01/09/2021,2017,PG-13,118,Dramas,2021,Dramas,,
164,Movie,My Boss's Daughter,David Zucker,United States,01/09/2021,2003,R,86,"Comedies, Romantic Movies",2021,Comedies,Romantic Movies,
165,Movie,Mystery Men,Kinka Usher,United States,01/09/2021,1999,PG-13,121,"Action & Adventure, Comedies",2021,Action & Adventure,Comedies,
167,Movie,Once Upon a Time in America,Sergio Leone,Italy,01/09/2021,1984,R,229,"Classic Movies, Dramas",2021,Classic Movies,Dramas,
168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",United States,01/09/2021,2008,PG,76,"Children & Family Movies, Comedies",2021,Children & Family Movies,Comedies,
169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,01/09/2021,2001,PG,95,"Action & Adventure, Children & Family Movies, Comedies",2021,Action & Adventure,Children & Family Movies,Comedies
170,Movie,Poseidon,Wolfgang Petersen,United States,01/09/2021,2006,PG-13,98,"Action & Adventure, Dramas",2021,Action & Adventure,Dramas,
171,Movie,Rhyme & Reason,Peter Spirer,United States,01/09/2021,1997,R,89,"Documentaries, Music & Musicals",2021,Documentaries,Music & Musicals,
172,Movie,Same Kind of Different as Me,Michael Carney,United States,01/09/2021,2017,PG-13,120,"Dramas, Faith & Spirituality",2021,Dramas,Faith & Spirituality,
173,Movie,School of Rock,Richard Linklater,United States,01/09/2021,2003,PG-13,110,"Comedies, Music & Musicals",2021,Comedies,Music & Musicals,
174,Movie,Snervous Tyler Oakley,Amy Rice,United States,01/09/2021,2015,PG-13,83,"Documentaries, LGBTQ Movies",2021,Documentaries,LGBTQ Movies,
175,Movie,Tears of the Sun,Antoine Fuqua,United States,01/09/2021,2003,R,121,"Action & Adventure, Dramas",2021,Action & Adventure,Dramas,
176,Movie,The Blue Lagoon,Randal Kleiser,United States,01/09/2021,1980,R,105,"Dramas, Romantic Movies",2021,Dramas,Romantic Movies,
177,Movie,The Golden Child,Michael Ritchie,United States,01/09/2021,1986,PG-13,94,"Action & Adventure, Comedies",2021,Action & Adventure,Comedies,
178,Movie,The Guns of Navarone,J. Lee Thompson,United Kingdom,01/09/2021,1961,TV-14,156,"Action & Adventure, Classic Movies",2021,Action & Adventure,Classic Movies,
179,Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,01/09/2021,2014,R,112,"Action & Adventure, Comedies",2021,Action & Adventure,Comedies,
180,Movie,The Nutty Professor,Tom Shadyac,United States,01/09/2021,1996,PG-13,95,"Comedies, Romantic Movies",2021,Comedies,Romantic Movies,
181,Movie,The Nutty Professor II: The Klumps,Peter Segal,United States,01/09/2021,2000,PG-13,107,"Comedies, Romantic Movies",2021,Comedies,Romantic Movies,
183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,01/09/2021,2008,PG-13,114,Comedies,2021,Comedies,,
184,Movie,In the Line of Fire,Wolfgang Petersen,United States,31/08/2021,1993,R,129,"Action & Adventure, Classic Movies",2021,Action & Adventure,Classic Movies,
186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",United States,31/08/2021,2021,TV-MA,86,"Documentaries, Sports Movies",2021,Documentaries,Sports Movies,
189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,28/08/2021,2008,TV-MA,97,"Comedies, International Movies",2021,Comedies,International Movies,
191,Movie,Thimmarusu,Sharan Koppisetty,India,28/08/2021,2021,TV-14,125,"Dramas, International Movies",2021,Dramas,International Movies,
192,Movie,Wind River,Taylor Sheridan,United Kingdom,28/08/2021,2017,R,107,"Dramas, Independent Movies",2021,Dramas,Independent Movies,
193,Movie,C Kkompany,Sachin Yardi,India,27/08/2021,2008,TV-14,127,"Action & Adventure, Comedies, International Movies",2021,Action & Adventure,Comedies,International Movies
196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,27/08/2021,2008,TV-14,128,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
197,Movie,He's All That,Mark Waters,United States,27/08/2021,2021,TV-14,92,"Comedies, Romantic Movies",2021,Comedies,Romantic Movies,
200,Movie,Koi Aap Sa,Partho Mitra,India,27/08/2021,2006,TV-14,135,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
201,Movie,Krishna Cottage,Santram Varma,India,27/08/2021,2004,TV-14,124,"Action & Adventure, Horror Movies, International Movies",2021,Action & Adventure,Horror Movies,International Movies
202,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India,27/08/2021,2003,TV-14,136,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
203,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,India,27/08/2021,2005,TV-MA,165,"Comedies, International Movies, Music & Musicals",2021,Comedies,International Movies,Music & Musicals
204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,27/08/2021,2016,TV-MA,124,"Comedies, International Movies",2021,Comedies,International Movies,
205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,27/08/2021,2012,TV-MA,136,"Comedies, International Movies",2021,Comedies,International Movies,
206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,India,27/08/2021,2001,TV-14,150,"Comedies, International Movies, Sci-Fi & Fantasy",2021,Comedies,International Movies,Sci-Fi & Fantasy
207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India,27/08/2021,2010,TV-MA,112,"Dramas, Independent Movies, International Movies",2021,Dramas,Independent Movies,International Movies
208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India,27/08/2021,2008,TV-14,119,"Action & Adventure, International Movies, Music & Musicals",2021,Action & Adventure,International Movies,Music & Musicals
209,Movie,Once Upon a Time in Mumbaai,Milan Luthria,India,27/08/2021,2010,TV-14,133,"Dramas, International Movies, Music & Musicals",2021,Dramas,International Movies,Music & Musicals
210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,27/08/2021,2013,TV-14,142,"Dramas, International Movies, Music & Musicals",2021,Dramas,International Movies,Music & Musicals
211,Movie,Ragini MMS,Pawan Kripalani,India,27/08/2021,2011,TV-MA,93,"Horror Movies, International Movies",2021,Horror Movies,International Movies,
212,Movie,Ragini MMS 2,Bhushan Patel,India,27/08/2021,2014,TV-MA,113,"Horror Movies, International Movies",2021,Horror Movies,International Movies,
215,Movie,SAS: Rise of the Black Swan,Magnus Martens,,27/08/2021,2021,R,124,"Action & Adventure, International Movies",2021,Action & Adventure,International Movies,
216,Movie,Shootout at Lokhandwala,Apoorva Lakhia,India,27/08/2021,2007,TV-MA,116,"Action & Adventure, Dramas, International Movies",2021,Action & Adventure,Dramas,International Movies
217,Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,27/08/2021,2011,TV-14,106,"Comedies, Dramas, Independent Movies",2021,Comedies,Dramas,Independent Movies
218,Movie,The Dirty Picture,Milan Luthria,India,27/08/2021,2011,TV-14,145,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,,25/08/2021,2021,TV-14,93,Documentaries,2021,Documentaries,,
228,Movie,Really Love,Angel Kristi Williams,United States,25/08/2021,2020,TV-MA,95,"Dramas, Independent Movies, Romantic Movies",2021,Dramas,Independent Movies,Romantic Movies
229,Movie,The November Man,Roger Donaldson,United States,25/08/2021,2014,R,108,Action & Adventure,2021,Action & Adventure,,
230,Movie,The Old Ways,Christopher Alender,United States,25/08/2021,2020,TV-MA,90,Horror Movies,2021,Horror Movies,,
231,Movie,The River Runner,Rush Sturges,,25/08/2021,2021,TV-MA,86,"Documentaries, Sports Movies",2021,Documentaries,Sports Movies,
232,Movie,The Water Man,David Oyelowo,United States,25/08/2021,2021,PG,92,"Children & Family Movies, Dramas",2021,Children & Family Movies,Dramas,
234,Movie,Count Me In,Mark Lo,United Kingdom,24/08/2021,2021,TV-MA,82,"Documentaries, Music & Musicals",2021,Documentaries,Music & Musicals,
236,Movie,Untold: Caitlyn Jenner,Crystal Moselle,,24/08/2021,2021,TV-PG,70,"Documentaries, LGBTQ Movies, Sports Movies",2021,Documentaries,LGBTQ Movies,Sports Movies
237,Movie,Boomika,Rathindran R Prasad,,23/08/2021,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",2021,Horror Movies,International Movies,Thrillers
238,Movie,Boomika (Hindi),Rathindran R Prasad,,23/08/2021,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",2021,Horror Movies,International Movies,Thrillers
239,Movie,Boomika (Malayalam),Rathindran R Prasad,,23/08/2021,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",2021,Horror Movies,International Movies,Thrillers
240,Movie,Boomika (Telugu),Rathindran R Prasad,,23/08/2021,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",2021,Horror Movies,International Movies,Thrillers
241,Movie,The Witcher: Nightmare of the Wolf,Han Kwang Il,,23/08/2021,2021,TV-MA,84,"Action & Adventure, Anime Features",2021,Action & Adventure,Anime Features,
245,Movie,Gunshot,Karim El Shenawy,,20/08/2021,2018,TV-14,96,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
247,Movie,Man in Love,Yin Chen-hao,,20/08/2021,2021,TV-MA,115,"Dramas, International Movies, Romantic Movies",2021,Dramas,International Movies,Romantic Movies
248,Movie,Sweet Girl,Brian Andrew Mendoza,United States,20/08/2021,2021,R,110,"Action & Adventure, Dramas",2021,Action & Adventure,Dramas,
250,Movie,The Loud House Movie,Dave Needham,,20/08/2021,2021,TV-Y7,88,"Children & Family Movies, Comedies, Music & Musicals",2021,Children & Family Movies,Comedies,Music & Musicals
251,Movie,A Faraway Land,Veronica Velasco,,19/08/2021,2020,TV-PG,102,"Dramas, International Movies, Romantic Movies",2021,Dramas,International Movies,Romantic Movies
252,Movie,Like Crazy,Drake Doremus,United States,19/08/2021,2011,PG-13,91,"Dramas, Independent Movies, Romantic Movies",2021,Dramas,Independent Movies,Romantic Movies
253,Movie,Black Island,Miguel Alexandre,,18/08/2021,2021,TV-MA,105,"International Movies, Thrillers",2021,International Movies,Thrillers,
254,Movie,Bombay,Mani Ratnam,India,18/08/2021,1995,TV-14,135,"Dramas, International Movies, Romantic Movies",2021,Dramas,International Movies,Romantic Movies
256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,,18/08/2021,2021,TV-MA,86,"Documentaries, International Movies",2021,Documentaries,International Movies,
257,Movie,Nneka The Pretty Serpent,Tosin Igho,,18/08/2021,2020,TV-14,140,"Dramas, International Movies",2021,Dramas,International Movies,
258,Movie,O Kadhal Kanmani,Mani Ratnam,India,18/08/2021,2015,TV-14,133,"Dramas, International Movies, Romantic Movies",2021,Dramas,International Movies,Romantic Movies
259,Movie,Out of my league,Alice Filippi,,18/08/2021,2020,TV-MA,92,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
260,Movie,Pahuna,Paakhi Tyrewala,India,18/08/2021,2018,TV-PG,82,"Comedies, Dramas, International Movies",2021,Comedies,Dramas,International Movies
262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,Brazil,18/08/2021,2021,TV-14,97,"Comedies, International Movies, Romantic Movies",2021,Comedies,International Movies,Romantic Movies
263,Movie,Untold: Deal With the Devil,Laura Brownson,United States,18/08/2021,2021,TV-MA,78,"Documentaries, LGBTQ Movies, Sports Movies",2021,Documentaries,LGBTQ Movies,Sports Movies
265,Movie,Walk of Shame,Steve Brill,United States,16/08/2021,2014,R,94,"Comedies, Independent Movies",2021,Comedies,Independent Movies,
268,Movie,The Piano,Jane Campion,New Zealand,15/08/2021,1993,R,121,"Classic Movies, Dramas, Independent Movies",2021,Classic Movies,Dramas,Independent Movies
